game_id,winner
201408020TBA,away
201407020TOR,home
201405170PHI,home
201405240TBA,home
201404100NYA,home
201408020MIA,home
201409190HOU,home
201409260PHI,home
201405140LAN,home
201409090CIN,home
201408230NYA,home
201409230CHN,home
201405050OAK,away
201409280PHI,away
201405180ANA,home
201408300ANA,home
201404260MIN,home
201404260MIL,home
201403310CIN,away
201404110MIL,home
201404110MIN,home
201407010LAN,home
201406260HOU,home
201408190BOS,away
201406170DET,home
201404180PIT,away
201406210NYA,away
201405270TOR,home
201406030TEX,away
201407210TOR,away
201408090PIT,away
201404190LAN,home
201405290ARI,home
201407240NYA,home
201407010BAL,home
201405190ANA,away
201407230ATL,home
201407010MIN,away
201406210SDN,away
201406010SLN,away
201407010MIA,home
201405090TOR,away
201409260LAN,home
201407180SLN,home
201408140NYN,away
201404300CHA,away
201405240PHI,home
201409140SFN,away
201404270WAS,away
201404130PHI,home
201405240ATL,away
201409060WAS,away
201407130CIN,home
201408120CHN,home
201405100SEA,home
201406180TBA,away
201408050PHI,home
201409060CIN,home
201406040CHN,home
201408190NYA,away
201405070ATL,away
201404060WAS,home
201407030OAK,home
201408120ATL,away
201407280CIN,away
201409010ATL,away
201408150ATL,home
201404190TBA,home
201409112CLE,home
201409010SDN,home
201407120CHN,home
201406100ARI,home
201406030CIN,home
201407090BOS,home
201404130SEA,away
201405090NYN,away
201404080CHN,away
201409160OAK,away
201407270TBA,away
201407200ATL,home
201409260SEA,home
201404150MIL,away
201409270TOR,home
201404150MIN,away
201407310SDN,away
201404150MIA,away
201404030NYN,away
201406190PIT,home
201404250LAN,away
201407110LAN,away
201407120LAN,home
201405290BOS,home
201405130CIN,away
201409050TEX,away
201405030NYA,home
201404161NYA,home
201409140NYN,away
201408120KCA,home
201404170HOU,away
201404040WAS,away
201405210KCA,home
201407260HOU,away
201406130LAN,home
201409130SLN,home
201404130SLN,home
201405300CLE,home
201408010BAL,home
201409270CLE,away
201404260ATL,home
201405260WAS,away
201404230CHN,away
201408080BAL,away
201409090DET,home
201407020BAL,home
201407090SLN,home
201408270SFN,home
201408260BAL,home
201407030SFN,away
201408110HOU,away
201408020LAN,home
201409010TBA,home
201405100DET,home
201405100OAK,home
201406200TBA,away
201407040SDN,home
201409230TOR,away
201404060KCA,away
201404270CHA,home
201408160WAS,home
201406150BAL,away
201407310CHN,home
201405090SDN,home
201405010CIN,home
201407090CIN,home
201407060CHA,home
201408070PHI,home
201404190CHN,home
201406180OAK,home
201404160BAL,home
201409110NYA,home
201405270SEA,away
201406040CIN,away
201408050PIT,away
201405020ANA,away
201409140MIL,home
201405310BOS,home
201407200BOS,home
201409090WAS,home
201406210MIA,away
201405070CLE,home
201408010MIA,away
201406230SFN,away
201407011CHA,away
201405220NYN,home
201404270SLN,home
201408160ATL,home
201409260CIN,away
201407220COL,away
201406200NYA,home
201409160KCA,away
201405310NYA,home
201405130LAN,home
201409230CLE,away
201407260ANA,home
201404110ANA,home
201405240PIT,home
201409140PHI,away
201404190PIT,away
201406140SFN,away
201406050TBA,home
201404030ARI,away
201407080MIL,away
201409010BAL,away
201407280TBA,home
201408060OAK,away
201405060DET,away
201409070WAS,home
201409270MIL,home
201406170LAN,home
201409170SLN,home
201407290BOS,away
201405110NYN,home
201408190SLN,home
201405180WAS,home
201405310MIA,away
201407220TOR,home
201407030DET,home
201408210WAS,home
